batch value control marker flagged_batch batch_effect cols type
PTLG026 1.9745500087738037 Unstim_Control_1 CD19 none 0 #AEAEAE EMD
PTLG026 2.5264999866485596 Unstim_Control_2 CD19 none 0 #AEAEAE EMD
PTLG027 1.1000001430511475 IFNa_LPS_Control_1 CD19 none 0 #AEAEAE EMD
PTLG027 1.2780499458312988 IFNa_LPS_Control_2 CD19 none 0 #AEAEAE EMD
PTLG027 1.2573001384735107 Unstim_Control_1 CD19 none 0 #AEAEAE EMD
PTLG027 3.227250099182129 Unstim_Control_2 CD19 PTLG027 1 #8E000C EMD
PTLG028 1.6500999927520752 IFNa_LPS_Control_1 CD19 none 0 #AEAEAE EMD
PTLG028 3.6009998321533203 IFNa_LPS_Control_2 CD19 PTLG028 1 #8E000C EMD
PTLG028 4.666450023651123 Unstim_Control_1 CD19 PTLG028 1 #8E000C EMD
PTLG028 3.754650115966797 Unstim_Control_2 CD19 PTLG028 1 #8E000C EMD
PTLG030 1.1071499586105347 IFNa_LPS_Control_1 CD19 none 0 #AEAEAE EMD
PTLG030 2.1364500522613525 IFNa_LPS_Control_2 CD19 none 0 #AEAEAE EMD
PTLG030 2.9464499950408936 Unstim_Control_1 CD19 none 0 #AEAEAE EMD
PTLG030 2.3172497749328613 Unstim_Control_2 CD19 none 0 #AEAEAE EMD
PTLG031 1.0809500217437744 IFNa_LPS_Control_1 CD19 none 0 #AEAEAE EMD
PTLG031 1.7264999151229858 IFNa_LPS_Control_2 CD19 none 0 #AEAEAE EMD
PTLG031 1.7249000072479248 Unstim_Control_1 CD19 none 0 #AEAEAE EMD
PTLG031 1.9694998264312744 Unstim_Control_2 CD19 none 0 #AEAEAE EMD
PTLG032 1.1071499586105347 IFNa_LPS_Control_1 CD19 none 0 #AEAEAE EMD
PTLG032 1.0132999420166016 IFNa_LPS_Control_2 CD19 none 0 #AEAEAE EMD
PTLG032 1.1533000469207764 Unstim_Control_1 CD19 none 0 #AEAEAE EMD
PTLG032 2.378300189971924 Unstim_Control_2 CD19 none 0 #AEAEAE EMD
PTLG033 4.090250015258789 IFNa_LPS_Control_1 CD19 PTLG033 1 #8E000C EMD
PTLG033 1.5719499588012695 IFNa_LPS_Control_2 CD19 none 0 #AEAEAE EMD
PTLG033 3.2591500282287598 Unstim_Control_1 CD19 PTLG033 1 #8E000C EMD
PTLG033 2.788800001144409 Unstim_Control_2 CD19 none 0 #AEAEAE EMD
